,doc_id,sentence
0,0,"from off a hill whose concave womb reworded"
1,0,"    a plaintful story from a sistering vale,"
2,0,"    my spirits to attend this double voice accorded,"
3,0,"    and down i laid to list the sad-tuned tale;"
4,0,"    ere long espied a fickle maid full pale,"
5,0,"    tearing of papers, breaking rings a-twain,"
6,0,"    storming her world with sorrow's wind and rain,"
7,0,""
8,0,"    upon her head a platted hive of straw,"
9,0,"    which fortified her visage from the sun,"
10,0,"    whereon the thought might think sometime it saw"
11,0,"    the carcass of beauty spent and done,"
12,0,"    time had not scythed all that youth begun,"
13,0,"    nor youth all quit; but, spite of heaven's fell rage,"
14,0,"    some beauty peep'd through lattice of sear'd age,"
15,0,""
16,0,"    oft did she heave her napkin to her eyne,"
17,0,"    which on it had conceited characters,"
18,0,"    laundering the silken figures in the brine"
19,0,"    that season'd woe had pelleted in tears,"
20,0,"    and often reading what contents it bears;"
21,0,"    as often shrieking undistinguish'd woe,"
22,0,"    in clamours of all size, both high and low,"
23,0,""
24,0,"    sometimes her levell'd eyes their carriage ride,"
25,0,"    as they did battery to the spheres intend;"
26,0,"    sometime diverted their poor balls are tied"
27,0,"    to the orbed earth; sometimes they do extend"
28,0,"    their view right on; anon their gazes lend"
29,0,"    to every place at once, and, nowhere fix'd,"
30,0,"    the mind and sight distractedly commix'd,"
31,0,""
32,0,"    her hair, nor loose nor tied in formal plat,"
33,0,"    proclaim'd in her a careless hand of pride"
34,0,"    for some, untuck'd, descended her sheaved hat,"
35,0,"    hanging her pale and pined cheek beside;"
36,0,"    some in her threaden fillet still did bide,"
37,0,"    and true to bondage would not break from thence,"
38,0,"    though slackly braided in loose negligence,"
39,0,""
40,0,"    a thousand favours from a maund she drew"
41,0,"    of amber, crystal, and of beaded jet,"
42,0,"    which one by one she in a river threw,"
43,0,"    upon whose weeping margent she was set;"
44,0,"    like usury, applying wet to wet,"
45,0,"    or monarch's hands that let not bounty fall"
46,0,"    where want cries some, but where excess begs all,"
47,0,""
48,0,"    of folded schedules had she many a one,"
49,0,"    which she perused, sigh'd, tore, and gave the flood;"
50,0,"    crack'd many a ring of posied gold and bone"
51,0,"    bidding them find their sepulchres in mud;"
52,0,"    found yet moe letters sadly penn'd in blood,"
53,0,"    with sleided silk feat and affectedly"
54,0,"    enswathed, and seal'd to curious secrecy,"
55,0,""
56,0,"    these often bathed she in her fluxive eyes,"
57,0,"    and often kiss'd, and often 'gan to tear,"
58,0,"    cried 'o false blood, thou register of lies,"
59,0,"    what unapproved witness dost thou bear!"
60,0,"    ink would have seem'd more black and damned here!'"
61,0,"    this said, in top of rage the lines she rents,"
62,0,"    big discontent so breaking their contents,"
63,0,""
64,0,"    a reverend man that grazed his cattle nigh--"
65,0,"    sometime a blusterer, that the ruffle knew"
66,0,"    of court, of city, and had let go by"
67,0,"    the swiftest hours, observed as they flew--"
68,0,"    towards this afflicted fancy fastly drew,"
69,0,"    and, privileged by age, desires to know"
70,0,"    in brief the grounds and motives of her woe,"
71,0,""
72,0,"    so slides he down upon his grained bat,"
73,0,"    and comely-distant sits he by her side;"
74,0,"    when he again desires her, being sat,"
75,0,"    her grievance with his hearing to divide,"
76,0,"    if that from him there may be aught applied"
77,0,"    which may her suffering ecstasy assuage,"
78,0,"    'tis promised in the charity of age,"
79,0,""
80,0,"    'father,' she says, 'though in me you behold"
